workload,numCycles,tlb_hits,read_hits,write_hits,tlb_misses,read_misses,write_misses,mshr_hits,mshr_stall_cycles,num_jobs,total_cycles,num_tasks,read_action_cycles,compute_action_cycles,write_action_cycles,num_macver_onW
0,14,4661,2242,2419,139755,80733,59022,76129,0,16,9400932,128,8641146,2097536,4150300,749
0,15,5392,2582,2810,283408,224778,58630,154003,0,16,20370071,384,19363608,3932541,4442977,900
TDLCA_BlackScholes,74114936,18810,16144,2666,2694,2288,406,1595,0,128,891340,6144,819297,133120,534765,958
0,1,18928,16243,2685,2744,2333,411,1631,0,129,891184,6192,820390,134160,519167,988
0,2,18567,15933,2634,2769,2355,414,1697,0,127,889910,6096,815473,132080,511838,937
0,3,18165,15585,2580,2667,2271,396,1672,0,124,896825,5952,829044,128960,496601,936
0,4,18897,16213,2684,2775,2363,412,1690,0,129,894455,6192,824654,134160,516496,946
0,5,17884,15343,2541,2780,2369,411,1653,0,123,893030,5904,828115,127920,499163,903
0,6,18668,16018,2650,3004,2558,446,1730,0,129,892156,6192,816095,134160,537768,920
0,7,19642,16844,2798,3038,2596,442,1848,0,135,891842,6480,818792,140400,545591,998
